GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Payment Orchestration System,com.payment.orchestration.exception,IdempotencyException,0,33,0,0,0,10,0,6,0,6
Payment Orchestration System,com.payment.orchestration.exception,PaymentException,7,65,0,0,1,18,1,9,1,9
Payment Orchestration System,com.payment.orchestration.exception,GlobalExceptionHandler,32,176,3,2,12,56,4,10,1,9
Payment Orchestration System,com.payment.orchestration.controller,PaymentController,11,90,5,8,2,21,5,8,0,6
Payment Orchestration System,com.payment.orchestration.config,OpenApiConfig,0,81,0,0,0,27,0,5,0,5
Payment Orchestration System,com.payment.orchestration.config,CacheConfig,0,38,0,0,0,17,0,5,0,5
Payment Orchestration System,com.payment.orchestration.routing,DefaultRoutingEngine,260,86,26,2,55,21,25,6,11,6
Payment Orchestration System,com.payment.orchestration.provider,ProviderResponse,129,398,46,32,8,45,48,24,10,23
Payment Orchestration System,com.payment.orchestration.provider,PaymentProvider,7,0,0,0,2,0,2,0,2,0
Payment Orchestration System,com.payment.orchestration.provider,ProviderResponse.ProviderResponseBuilder,22,87,0,2,0,1,1,13,1,12
Payment Orchestration System,com.payment.orchestration.provider,ProviderB,147,197,18,10,35,45,17,14,4,12
Payment Orchestration System,com.payment.orchestration.provider,ProviderA,125,193,13,10,30,44,14,14,4,12
Payment Orchestration System,com.payment.orchestration.entity,Payment,86,285,0,12,6,45,23,45,23,39
Payment Orchestration System,com.payment.orchestration.entity,Payment.PaymentBuilder,75,189,1,5,0,1,6,25,5,23
Payment Orchestration System,com.payment.orchestration.entity,IdempotencyRecord.IdempotencyRecordBuilder,27,73,1,1,0,1,3,10,2,10
Payment Orchestration System,com.payment.orchestration.entity,PaymentStatusHistory.PaymentStatusHistoryBuilder,23,58,0,0,0,1,2,9,2,9
Payment Orchestration System,com.payment.orchestration.entity,IdempotencyRecord.IdempotencyStatus,0,21,0,0,0,4,0,1,0,1
Payment Orchestration System,com.payment.orchestration.entity,PaymentStatusHistory,38,52,0,0,3,9,10,9,10,9
Payment Orchestration System,com.payment.orchestration.entity,IdempotencyRecord,45,104,3,3,4,20,13,17,10,17
Payment Orchestration System,com.payment.orchestration,PaymentOrchestrationApplication,5,3,0,0,2,1,1,1,1,1
Payment Orchestration System,com.payment.orchestration.service,PaymentStatusTrackingService.StatusStatistics,0,54,0,2,0,5,0,4,0,3
Payment Orchestration System,com.payment.orchestration.service,IdempotencyService,9,211,0,10,3,57,0,18,0,13
Payment Orchestration System,com.payment.orchestration.service,IdempotencyService.IdempotencyStats,0,21,0,0,0,2,0,2,0,2
Payment Orchestration System,com.payment.orchestration.service,PaymentOrchestrationService,144,397,11,19,42,92,10,19,1,13
Payment Orchestration System,com.payment.orchestration.service,PaymentStatusTrackingService,0,238,0,2,0,64,0,13,0,12
Payment Orchestration System,com.payment.orchestration.dto,ErrorResponse,407,73,70,0,37,18,53,12,18,12
Payment Orchestration System,com.payment.orchestration.dto,ErrorResponse.ErrorResponseBuilder,31,60,1,1,0,1,4,8,3,8
Payment Orchestration System,com.payment.orchestration.dto,ErrorResponse.FieldError.FieldErrorBuilder,8,28,0,0,0,1,1,5,1,5
Payment Orchestration System,com.payment.orchestration.dto,PaymentStatusResponse.PaymentStatusResponseBuilder,18,63,0,0,0,1,1,10,1,10
Payment Orchestration System,com.payment.orchestration.dto,PaymentStatusResponse.StatusHistoryEntry,257,64,54,0,2,16,38,9,11,9
Payment Orchestration System,com.payment.orchestration.dto,PaymentStatusResponse.StatusHistoryEntry.StatusHistoryEntryBuilder,14,49,0,0,0,1,1,8,1,8
Payment Orchestration System,com.payment.orchestration.dto,ErrorResponse.FieldError,146,25,30,0,2,5,23,5,8,5
Payment Orchestration System,com.payment.orchestration.dto,PaymentStatusResponse,333,97,71,1,2,25,49,11,13,11
Payment Orchestration System,com.payment.orchestration.dto,PaymentResponse,619,232,142,0,6,42,79,37,8,37
Payment Orchestration System,com.payment.orchestration.dto,PaymentRequest,401,206,107,27,3,30,64,34,4,27
Payment Orchestration System,com.payment.orchestration.dto,PaymentResponse.PaymentResponseBuilder,41,121,0,0,0,1,2,18,2,18
Payment Orchestration System,com.payment.orchestration.dto,PaymentRequest.PaymentRequestBuilder,34,74,0,0,0,1,3,11,3,11
Payment Orchestration System,com.payment.orchestration.enums,PaymentStatus,0,92,0,14,0,14,0,12,0,5
Payment Orchestration System,com.payment.orchestration.enums,PaymentMethod,7,59,2,2,1,12,2,6,1,5
Payment Orchestration System,com.payment.orchestration.enums,ProviderType,0,43,0,2,0,10,0,6,0,5
